id,jp,romaji,en,tags,pattern,note
001,"今度の週末、時間はありますか。","Kondo no shūmatsu, jikan wa arimasu ka?","Do you have time this weekend?","invites;open","時間はありますか","Soft opener"
002,"よかったら、一緒にコーヒーでもいかがですか。","Yokattara, issho ni kōhī demo ikaga desu ka?","If you’d like, shall we grab a coffee?","invites;open","~でもいかがですか","Polite soft"
003,"来週の火曜か水曜はどうですか。","Raishū no kayō ka suiyō wa dō desu ka?","How about next Tue or Wed?","invites;propose","AかBはどうですか","Offer options"
004,"〇日の夕方はご都合いかがですか。","〇-nichi no yūgata wa go-tsugō ikaga desu ka?","Would the evening of (date) work?","invites;propose","ご都合いかがですか","Replace 〇"
005,"お時間が合えば、散歩でも。","O-jikan ga aeba, sanpo demo.","If time allows, maybe a walk.","invites;light","~でも","Elliptical"
006,"ぜひ、お願いします。","Zehi, onegai shimasu.","I’d love to.","invites;accept","ぜひ","Warm accept"
007,"その日は都合がつかなくて……","Sono hi wa tsugō ga tsukanakute...","I can’t make it that day...","invites;decline","都合がつかない","Soft decline"
008,"別の日でも大丈夫ですか。","Betsu no hi demo daijōbu desu ka?","Would another day work?","invites;resched","別の日でも~?","—"
009,"ありがたいのですが、今回は見送ります。","Arigatai no desu ga, konkai wa miokurimasu.","Thanks, but I’ll pass this time.","invites;decline","見送ります","Polite"
010,"では、〇日の18時に〇〇駅の中央改札で。","Dewa, 〇-nichi no 18-ji ni 〇〇-eki no chūō kaisatsu de.","Then, [date] 18:00 at [Station] central gate.","invites;confirm","でわ~で","Details"
011,"遅れそうなら連絡します。","Okuresō nara renraku shimasu.","I’ll message if I’m running late.","invites;confirm","なら~します","—"
012,"連絡先を交換してもいいですか。","Renrakusaki o kōkan shite mo ii desu ka?","May we exchange contacts?","invites;contact","~してもいいですか","—"
013,"当日、場所の写真を送ります。","Tōjitsu, basho no shashin o okurimasu.","I’ll send a photo of the spot on the day.","invites;logistics","宣言","—"
014,"申し訳ないのですが、予定を変更できますか。","Mōshiwake nai no desu ga, yotei o henkō dekimasu ka?","I’m sorry, could we reschedule?","invites;resched","申し訳ないのですが","—"
015,"体調がよくなくて、別の日にお願いできますか。","Taichō ga yoku nakute, betsu no hi ni onegai dekimasu ka?","I’m not feeling well; another day?","invites;resched","理由+お願い","—"
016,"当日になってしまい恐縮ですが、今回はキャンセルさせてください。","Tōjitsu ni natte shimai kyōshuku desu ga, konkai wa kyanseru sasete kudasai.","Sorry to cancel on the day.","invites;cancel","恐縮ですが","—"
017,"平日の夜なら大丈夫です。","Heijitsu no yoru nara daijōbu desu.","Weeknights work for me.","invites;pref","なら大丈夫","—"
018,"早めの時間が助かります。","Hayame no jikan ga tasukarimasu.","Earlier works better.","invites;pref","助かります","—"
019,"一時間くらいでいかがですか。","Ichi-jikan kurai de ikaga desu ka?","About an hour?","invites;pref","でいかがですか","—"
020,"次の木曜はどうですか。","Tsugi no mokuyō wa dō desu ka?","How about next Thursday?","invites;propose","次の~はどう","—"
021,"午前中なら空いています。","Gozen-chū nara aite imasu.","I’m free in the morning.","invites;pref","なら空いています","—"
022,"夕方は少し難しいです。","Yūgata wa sukoshi muzukashii desu.","Evening is a bit hard.","invites;pref","難しい","—"
023,"来週の予定を見てみます。","Raishū no yotei o mitemimasu.","Let me check next week’s schedule.","invites;process","確認","—"
024,"また連絡しますね。","Mata renraku shimasu ne.","I’ll message you again.","invites;process","連絡します","—"
025,"雨なら、別の日にしましょう。","Ame nara, betsu no hi ni shimashō.","If it rains, let’s pick another day.","invites;contingency","なら~しましょう","—"
026,"オンラインでも大丈夫です。","Onrain demo daijōbu desu.","Online works too.","invites;alt","でも大丈夫","—"
027,"短めでも大丈夫です。","Mijikame demo daijōbu desu.","Short is fine too.","invites;alt","でも大丈夫","—"
028,"都合が合えば、夕方からでも。","Tsugō ga aeba, yūgata kara demo.","If possible, from evening works.","invites;soft","が合えば","—"
029,"無理のない範囲で。","Muri no nai han’i de.","Only if it’s not a hassle.","invites;soft","配慮","—"
030,"ご都合のよい時間を教えてください。","Go-tsugō no yoi jikan o oshiete kudasai.","Please tell me a time that works for you.","invites;pref","教えてください","—"
031,"当日、少し遅れるかもしれません。","Tōjitsu, sukoshi okureru kamoshiremasen.","I might be a little late.","invites;heads-up","かもしれません","—"
032,"駅の〇番出口にしましょう。","Eki no 〇-ban deguchi ni shimashō.","Let’s meet at exit X.","invites;logistics","~にしましょう","Replace 〇"
033,"集合写真を撮りましょうか。","Shūgō shashin o torimashō ka?","Shall we take a group photo?","invites;extras","~ましょうか","—"
034,"今回は見送りますが、また誘ってください。","Konkai wa miokurimasu ga, mata sasotte kudasai.","I’ll pass this time, but invite me again.","invites;decline","見送ります","—"
035,"予定が確定したら共有します。","Yotei ga kakutei shitara kyōyū shimasu.","I’ll share once the plan is set.","invites;process","したら~します","—"
036,"この辺で静かなカフェはありますか。","Kono hen de shizuka na kafe wa arimasu ka?","Is there a quiet cafe around here?","invites;place","場所","—"
037,"中央改札の近くにしましょう。","Chūō kaisatsu no chikaku ni shimashō.","Let’s meet near the central gate.","invites;logistics","~にしましょう","—"
038,"予定変更になりそうです。","Yotei henkō ni narisō desu.","Plans may change.","invites;heads-up","なりそうです","—"
039,"申し訳ないのですが、今日は難しいです。","Mōshiwake nai no desu ga, kyō wa muzukashii desu.","I’m sorry, today doesn’t work.","invites;decline","申し訳ないのですが","—"
040,"別の案でも大丈夫です。","Betsu no an demo daijōbu desu.","A different plan is fine too.","invites;flex","でも大丈夫","—"
041,"また改めて連絡します。","Mata aratamete renraku shimasu.","I’ll reach out again later.","invites;process","改めて","—"
042,"〇時くらいはどうですか。","〇-ji kurai wa dō desu ka?","How about around X o’clock?","invites;time","くらい","—"
043,"一時間だけでもどうですか。","Ichi-jikan dake demo dō desu ka?","Even just an hour?","invites;light","だけでも","—"
044,"最寄りの駅で待ち合わせしましょう。","Moyori no eki de machiawase shimashō.","Let’s meet at the nearest station.","invites;logistics","待ち合わせ","—"
045,"雨の場合はオンラインに切り替えましょう。","Ame no baai wa onrain ni kirikaemashō.","If it rains, let’s switch to online.","invites;contingency","場合は","—"
046,"変更があれば、前日までにお知らせください。","Henkō ga areba, zenjitsu made ni oshirase kudasai.","Please let me know by the day before if any change.","invites;policy","締切","—"
047,"場所のリンクを送ります。","Basho no rinku o okurimasu.","I’ll send the location link.","invites;logistics","リンク","—"
048,"静かなところが助かります。","Shizuka na tokoro ga tasukarimasu.","A quiet place would help.","invites;pref","助かります","—"
049,"混んでいたら、近くの公園でも。","Konde itara, chikaku no kōen demo.","If it’s crowded, the nearby park works.","invites;contingency","でも","—"
050,"大丈夫、また今度にしましょう。","Daijōbu, mata kondo ni shimashō.","No worries, let’s do it another time.","invites;grace","また今度","—"
051,"ご都合の良い日程をご提案ください。","Go-tsugō no yoi nittei o teian kudasai.","Please suggest dates that work for you.","invites;pref","ご提案ください","—"
052,"短い打ち合わせでも大歓迎です。","Mijikai uchi-awase demo daikangei desu.","A short check-in is welcome too.","invites;light","歓迎","—"
053,"無理のない時間帯で。","Muri no nai jikan-tai de.","Whatever time is convenient.","invites;grace","配慮","—"
054,"前の予定が延びたら連絡します。","Mae no yotei ga nobitara renraku shimasu.","If my prior plan runs long, I’ll text.","invites;heads-up","たら~します","—"
055,"場所に着いたら連絡します。","Basho ni tsuitara renraku shimasu.","I’ll message when I arrive.","invites;logistics","到着連絡","—"
056,"もし遅れたら先に入っていてください。","Moshi okuretara saki ni haitte ite kudasai.","If I’m late, please go in first.","invites;grace","お願い","—"
057,"その日は別件がありまして……","Sono hi wa bekken ga arimashite...","I have another thing that day...","invites;decline","別件","—"
058,"予定を共有しておきます。","Yotei o kyōyū shite okimasu.","I’ll share my schedule ahead.","invites;process","~しておきます","—"
